id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36691110,Eastlake Retreat,240933227,Barry & Terri,,East Lake,32.66558,-116.97767,Private room,56,2,5,2022-02-15,0.79,2,319,5,
553692296044396107,Upgraded 3 Bedroom Condo w/ Fireplace & BBQ,19065265,Guy,,Southwest,32.60011,-117.03276,Entire home/apt,184,4,3,2022-03-13,2.50,6,66,3,
50524226,"Private, Sunny California Bungalow near San Diego",408208757,Elizabeth,,Darnall,32.751339,-117.04744,Entire home/apt,121,2,47,2022-03-21,5.36,1,217,47,
795793,The Barrett's Hilltop Cottage,4190686,Robin,,Rancho Penasquitos,32.97631,-117.17404,Entire home/apt,140,3,26,2021-01-08,0.23,1,326,0,
49164317,ModernGuestsSuite Private entrance /Self check-in,388356587,Lisa,,Jomacha-Lomita,32.710724,-117.016396,Entire home/apt,85,1,24,2022-03-20,2.35,1,70,24,
43942992,Private Condo in sunny San Diego on Lake Murray!,213367095,Tiffany,,San Carlos,32.782,-117.03668,Entire home/apt,115,30,2,2021-10-23,0.25,1,162,2,
52457608,Luxury Family Retreat Putting Green/Game Room/Pool,121916709,Zeina And Mo,,Mission Bay,33.09848,-117.03083,Entire home/apt,1086,3,28,2022-03-10,5.19,39,259,28,
47350909,"Ocean View Condo with Pool, Spa, Gym, & Tennis",78473842,Beth,,Del Mar Heights,32.94601,-117.26055,Entire home/apt,185,31,3,2022-03-05,0.31,1,175,3,
51436491,Beautiful Condo in the heart of San Diego,398026245,Grandeur,,College Area,32.77312,-117.0383,Entire home/apt,200,3,2,2021-09-11,0.30,1,362,2,
49892372,"Del Mar beach getaway, surf boards available",22217438,Suanne,,Del Mar Heights,32.94848,-117.26257,Entire home/apt,300,2,5,2022-02-13,0.75,2,118,5,
50158753,Beautiful garden view,70702321,Lupita,,Bay Terrace,32.68519,-117.02442,Private room,199,1,6,2022-02-21,0.73,1,176,6,
29967,"Great home, 10 min walk to Beach",129123,Michael,,Pacific Beach,32.80751,-117.2576,Entire home/apt,225,4,73,2022-01-03,0.51,5,276,11,
38245,Point Loma: Den downstairs,164137,Melinda,,Roseville,32.74217,-117.21931,Private room,84,1,147,2022-01-16,1.05,3,317,4,
54001,"La Jolla Garden Cottage: Blks to Ocn; 2Bdms, 1Bth.",252692,Marsha,,La Jolla,32.81301,-117.26856,Entire home/apt,184,5,282,2022-03-13,2.06,2,35,33,
62274,"charming, colorful, close to beach",302986,Isabel,,Pacific Beach,32.80583,-117.24244,Entire home/apt,83,1,710,2022-03-04,5.16,2,258,73,
62949,Pacific Beach Cozy Private Hideaway Bikes Included,21532,Lisa,,Pacific Beach,32.80885,-117.23043,Entire home/apt,94,1,841,2022-03-16,7.21,2,104,93,
